reason_code,reason_description,reason_category,reason_type
0,Sem motivo informado,Não classificado,Não classificado
1,Doenças infecciosas e parasitárias,Saúde - Doença,Diagnóstico médico (CID)
2,Neoplasias,Saúde - Doença,Diagnóstico médico (CID)
3,Doenças do sangue e órgãos hematopoéticos,Saúde - Doença,Diagnóstico médico (CID)
4,Doenças endócrinas nutricionais e metabólicas,Saúde - Doença,Diagnóstico médico (CID)
5,Transtornos mentais e comportamentais,Saúde - Doença,Diagnóstico médico (CID)
6,Doenças do sistema nervoso,Saúde - Doença,Diagnóstico médico (CID)
7,Doenças do olho e anexos,Saúde - Doença,Diagnóstico médico (CID)
8,Doenças do ouvido e apófise mastoide,Saúde - Doença,Diagnóstico médico (CID)
9,Doenças do aparelho circulatório,Saúde - Doença,Diagnóstico médico (CID)
10,Doenças do aparelho respiratório,Saúde - Doença,Diagnóstico médico (CID)
11,Doenças do aparelho digestivo,Saúde - Doença,Diagnóstico médico (CID)
12,Doenças da pele e tecido subcutâneo,Saúde - Doença,Diagnóstico médico (CID)
13,Doenças do sistema osteomuscular,Saúde - Doença,Diagnóstico médico (CID)
14,Doenças do aparelho geniturinário,Saúde - Doença,Diagnóstico médico (CID)
15,Gravidez parto e puerpério,Saúde - Doença,Diagnóstico médico (CID)
16,Afecções originadas no período perinatal,Saúde - Doença,Diagnóstico médico (CID)
17,Malformações congênitas e anomalias cromossômicas,Saúde - Doença,Diagnóstico médico (CID)
18,Sintomas e achados clínicos anormais não classificados,Saúde - Doença,Diagnóstico médico (CID)
19,Lesões envenenamentos e outras causas externas,Saúde - Doença,Diagnóstico médico (CID)
20,Causas externas de morbidade e mortalidade,Saúde - Doença,Diagnóstico médico (CID)
21,Fatores que influenciam o estado de saúde,Saúde - Preventivo,Diagnóstico médico (CID)
22,Acompanhamento do paciente,Administrativo,Administrativo/Preventivo
23,Consulta médica,Administrativo,Administrativo/Preventivo
24,Doação de sangue,Administrativo,Administrativo/Preventivo
25,Exame laboratorial,Administrativo,Administrativo/Preventivo
26,Falta injustificada,Injustificado,Administrativo/Preventivo
27,Fisioterapia,Administrativo,Administrativo/Preventivo
28,Consulta odontológica,Administrativo,Administrativo/Preventivo
